Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Raging Tempest,,Common,Ancient Gear Howitzer,,Monster,EARTH,Machine / Fusion / Effect,8,1000 / 1800,,,,,,
Tactical Evolution,,Rare,Common Charity,,Trap,,,,,,,,,,
Ignition Assault,,Common,Transcicada,,Monster,EARTH,Insect / Tuner / Effect,3,800 / 1000,,,,,,
Power of the Duelist,,Common,Destiny HERO - Fear Monger,Destiny Hero - Fear Monger,Monster,DARK,Warrior / Effect,4,1000 / 1000,,,,,,
Savage Strike,,Rare,Madolche Petingcessoeur,,Monster,EARTH,Fairy / Effect,4,1400 / 1400,,,,,,
Storm of Ragnarok,,Super Rare,Symphonic Warrior Basses,,Monster,WIND,Machine / Tuner,1,600 / 400,,,,,,
Crossed Souls,,Secret Rare,Oracle of Zefra,,Spell,,,,,,,,,,
Savage Strike,,Secret Rare,Super Anti-Kaiju War Machine Mecha-Thunder-King,,Monster,LIGHT,Machine / Effect,9,2200 / 2100,,,,,,
Cyberdark Impact,,Rare,Combo Master,,Monster,WIND,Warrior / Effect,5,2200 / 1500,,,,,,
Light of Destruction,,Common,Realm of Light,,Spell,,,,,,,,,,
Gladiator's Assault,,Common,Summon Cloud,,Spell,,,,,,,,,,
Gladiator's Assault,,Secret Rare,Gladiator Beast Octavius,,Monster,LIGHT,Winged Beast / Effect,7,2500 / 1200,,,,,,
Dark Crisis,,Common,Blindly Loyal Goblin,,Monster,EARTH,Warrior / Effect,4,1800 / 1500,,,,,,
Order of Chaos,,Common,Evolsaur Elias,,Monster,FIRE,Dinosaur / Effect,6,100 / 2400,,,,,,
The Lost Millennium,,Common,Elemental HERO Sparkman,Elemental Hero Sparkman,Monster,LIGHT,Warrior / Normal,4,1600 / 1400,,,,,,
Chaos Impact,,Ultra Rare,Draco Berserker of the Tenyi,,Monster,DARK,Wyrm / Synchro / Effect,8,3000 / 0,,,,,,
Chaos Impact,,Common,Marincess Crown Tail,,Monster,WATER,Cyberse / Effect,5,600 / 2300,,,,,,
Force of the Breaker,,Common,"Otherworld - The ""A"" Zone",,Spell,,,,,,,,,,
Return of the Duelist,,Common,Heroic Chance,,Spell,,,,,,,,,,
Light of Destruction,,Ultra Rare,"Celestia, Lightsworn Angel",,Monster,LIGHT,Fairy / Effect,5,2300 / 200,,,,,,
Dark Neostorm,,Rare,Assault Reboot,,Trap,,,,,,,,,,
Legacy of Darkness,,Super Rare,Dark Balter the Terrible,,Monster,DARK,Fiend / Fusion / Effect,5,2000 / 1200,,,,,,
Extreme Victory,,Rare,Hushed Psychic Cleric,Taciturn Psycho Priest,Monster,EARTH,Psychic / Effect,3,0 / 2100,,,,,,
Tactical Evolution,,Common,Goggle Golem,,Monster,EARTH,Rock / Gemini,4,1500 / 500,,,,,,
Labyrinth of Nightmare,,Common,Fairy Guardian,,Monster,WIND,Fairy / Effect,3,1000 / 1000,,,,,,
Raging Tempest,,Rare,Shinobaroness Peacock,,Monster,WIND,Winged Beast / Ritual / Spirit / Effect,8,2500 / 3000,,,,,,
Extreme Victory,,Common,TG1-EM1,,Trap,,,,,,,,,,
Invasion: Vengeance,,Super Rare,The Phantom Knights' Rank-Up-Magic Launch,,Spell,,,,,,,,,,
Dimension Force,,Common,Materiactor Annulus,,Spell,,,,,,,,,,
Photon Shockwave,,Common,Champion's Vigilance,,Trap,,,,,,,,,,
The Shining Darkness,,Common,Second Booster,,Monster,FIRE,Machine / Effect,3,1000 / 500,,,,,,
Photon Shockwave,,Common,Wind-Up Warrior,,Monster,EARTH,Warrior / Effect,4,1200 / 1800,,,,,,
Code of the Duelist,,Common,Speedroid Passinglider,,Monster,WIND,Machine / Pendulum / Effect,5,2200 / 2000,,,,,,
Photon Shockwave,,Ultra Rare,Evolzar Laggia,,Monster,FIRE,Dragon / Xyz / Effect,,2400 / 2000,4,,,,,
The Dark Illusion,,Common,Triamid Fortress,,Spell,,,,,,,,,,
Labyrinth of Nightmare,,Common,Gadget Soldier,,Monster,FIRE,Machine,6,1800 / 2000,,,,,,
The Duelist Genesis,,Rare,The Tricky,,Monster,WIND,Spellcaster / Effect,5,2000 / 1200,,,,,,
Metal Raiders,,Short Print,Queen's Double,,Monster,EARTH,Warrior / Effect,1,350 / 300,,,,,,
The New Challengers,,Common,Superheavy Samurai Soulshield Wall,,Monster,EARTH,Machine / Effect,3,1200 / 1200,,,,,,
Dimension of Chaos,,Rare,Sphere Kuriboh,,Monster,DARK,Fiend / Effect,1,300 / 200,,,,,,
Secrets of Eternity,,Rare,U.A. Turnover Tactics,,Spell,,,,,,,,,,
Enemy of Justice,,Common,Macro Cosmos,,Trap,,,,,,,,,,
Shining Victories,,Rare,Hi-Speedroid Puzzle,,Monster,WIND,Machine / Synchro / Effect,4,1300 / 1600,,,,,,
Soul of the Duelist,,Common,Two-Man Cell Battle,,Spell,,,,,,,,,,
Raging Tempest,,Common,Symph Amplifire,,Spell,,,,,,,,,,
Force of the Breaker,,Rare,Ancient City - Rainbow Ruins,,Spell,,,,,,,,,,
Extreme Force,,Common,Tindangle Delaunay,,Trap,,,,,,,,,,
Dimension Force,,Common,Surprise Chain,,Spell,,,,,,,,,,
Spell Ruler,,Common,Performance of Sword,,Monster,EARTH,Warrior / Ritual,6,1950 / 1850,,,,,,
Crossroads of Chaos,,Common,Power Injector,,Monster,EARTH,Psychic / Effect,4,1300 / 1400,,,,,,
Dawn of Majesty,,Common,Gunkan Suship Shari,,Monster,FIRE,Aqua / Normal,4,2000 / 0,,,,,,
Maximum Gold,,Rare,Trade-In,,Spell,,,,,,,,,,
Duelist Revolution,,Common,Mine Mole,,Monster,EARTH,Beast / Effect,3,1000 / 1200,,,,,,
The Duelist Genesis,,Super Rare,Sinister Sprocket,,Monster,DARK,Fiend / Tuner,1,400 / 0,,,,,,
Crimson Crisis,,Ultra Rare,Bone Crusher,,Monster,EARTH,Zombie / Effect,4,1600 / 200,,,,,,
Dimension Force,,Common,Predaplant Ambulomelides,,Monster,DARK,Plant / Fusion / Effect,5,1000 / 2500,,,,,,
Crimson Crisis,,Rare,Psychic Tuning,,Trap,,,,,,,,,,
Dark Crisis,,Super Rare,Mudora,,Monster,EARTH,Fairy / Effect,4,1500 / 1800,,,,,,
Shining Victories,,Rare,Amorphage Lysis,,Trap,,,,,,,,,,
The Dark Illusion,,Rare,Illusion Magic,,Spell,,,,,,,,,,
Raging Tempest,,Common,Super Quantal Alphan Spike,,Spell,,,,,,,,,,
Magician's Force,,Common,Aitsu,,Monster,FIRE,Fairy,5,100 / 100,,,,,,
Magician's Force,,Common,United Resistance,,Monster,WIND,Thunder,3,1000 / 400,,,,,,
Cybernetic Horizon,,Ultra Rare,Sacred Noble Knight of King Custennin,,Monster,LIGHT,Warrior / Xyz / Effect,,1500 / 2500,4,,,,,
Phantom Rage,,Super Rare,Myutant Arsenal,,Monster,FIRE,Machine / Effect,8,3000 / 1000,,,,,,
Flames of Destruction,,Common,Crystal Master,,Monster,DARK,Spellcaster / Pendulum / Effect,3,1300 / 1000,,,,,,
Judgment of the Light,,Common,Umbral Horror Ghoul,,Monster,DARK,Fiend / Effect,4,1800 / 0,,,,,,
Shadow Specters,,Common,Pumprincess the Princess of Ghosts,,Monster,DARK,Zombie / Effect,3,900 / 1000,,,,,,
Soul Fusion,,Common,Invincibility Barrier,,Trap,,,,,,,,,,
Dimension of Chaos,,Ultra Rare,Assault Blackwing - Raikiri the Rain Shower,,Monster,DARK,Winged Beast / Synchro / Effect,7,2600 / 2000,,,,,,
Rise of Destiny,,Common,Harpie Lady 3,Keraino,Monster,WIND,Winged Beast / Effect,4,1300 / 1400,,,,,,
Rise of Destiny,,Super Rare,Triangle Ecstasy Spark,,Spell,,,,,,,,,,
Magician's Force,,Common,Pixie Knight,,Monster,LIGHT,Spellcaster / Effect,2,1300 / 200,,,,,,
Breakers of Shadow,,Super Rare,Pendulum Storm,,Spell,,,,,,,,,,
Order of Chaos,,Ultra Rare,Number 12: Crimson Shadow Armor Ninja,,Monster,EARTH,Warrior / Xyz / Effect,,2400 / 1700,5,,,,,
Strike of Neos,,Super Rare,Great Shogun Shien,,Monster,FIRE,Warrior / Effect,7,2500 / 2400,,,,,,
Legacy of Darkness,,Short Print,Inaba White Rabbit,,Monster,EARTH,Beast / Spirit,3,700 / 500,,,,,,
Duelist Revolution,,Common,Howl of the Wild,,Trap,,,,,,,,,,
Ignition Assault,,Rare,A.I.dle Reborn,,Spell,,,,,,,,,,
Return of the Duelist,,Common,Chronomaly Technology,,Spell,,,,,,,,,,
Primal Origin,,Common,Artifact Aegis,,Monster,LIGHT,Fairy / Effect,5,1200 / 2500,,,,,,
Starstrike Blast,,Rare,"Karakuri Merchant mdl 177 ""Inashichi""",,Monster,EARTH,Machine / Effect,2,500 / 1500,,,,,,
Dark Neostorm,,Super Rare,Crackdown,,Trap,,,,,,,,,,
Shadow Specters,,Common,Rasetsu,,Monster,FIRE,Fairy / Spirit,4,1500 / 1900,,,,,,
Phantom Darkness,,Ultra Rare,The Beginning of the End,,Spell,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Ghost Reaper & Winter Cherries,,Monster,DARK,Zombie / Tuner / Effect,3,0 / 1800,,,,,,
Chaos Impact,,Ultra Rare,Wailing of the Unchained Souls,,Spell,,,,,,,,,,
Return of the Duelist,,Ultra Rare,Spellbook Magician of Prophecy,,Monster,WATER,Spellcaster / Effect,2,500 / 400,,,,,,
Soul of the Duelist,,Common,Malice Doll of Demise,,Monster,DARK,Fiend / Effect,4,1600 / 1700,,,,,,
Crossroads of Chaos,,Common,Nettles,,Monster,EARTH,Plant / Tuner,2,1200 / 400,,,,,,
Lightning Overdrive,,Super Rare,Rank-Up-Magic Zexal Force,,Spell,,,,,,,,,,
Phantom Rage,,Super Rare,Dual Avatar Feet - Armored Un-Gyo,,Monster,LIGHT,Warrior / Fusion / Effect,5,1700 / 2100,,,,,,
Legend of Blue Eyes White Dragon,,Ultra Rare,Dark Magician,,Monster,DARK,Spellcaster / Normal,7,2500 / 2100,,,,,,
Legacy of the Valiant,,Super Rare,Mount Sylvania,,Spell,,,,,,,,,,
Eternity Code,,Common,Red Familiar,,Monster,DARK,Fiend / Effect,4,1600 / 0,,,,,,
Abyss Rising,,Common,Unification,,Trap,,,,,,,,,,
Maximum Crisis ,,Short Print,Set Rotation,,Spell,,,,,,,,,,
The New Challengers,,Rare,Satellarknight Sirius,,Monster,LIGHT,Warrior / Effect,4,1600 / 900,,,,,,
Storm of Ragnarok,,Secret Rare,Six Strike - Thunder Blast,,Trap,,,,,,,,,,
Legacy of the Valiant,,Common,Gillagillancer,,Monster,EARTH,Warrior / Effect,6,2200 / 800,,,,,,
Invasion of Chaos,,Common,Gren Maju Da Eiza,,Monster,FIRE,Fiend / Effect,3,? / ?,,,,,,
Extreme Victory,,Common,Scarlet Security,,Spell,,,,,,,,,,
Light of Destruction,,Rare,Light Barrier,,Spell,,,,,,,,,,
Lord of the Tachyon Galaxy,,Common,Battlin' Boxer Headgeared,,Monster,FIRE,Warrior / Effect,4,1000 / 1800,,,,,,
Shining Victories,,Super Rare,Assault Blackwing - Chidori the Rain Sprinkling,,Monster,DARK,Winged Beast / Synchro / Effect,7,2600 / 2000,,,,,,
Clash of Rebellions,,Rare,Mandragon,,Monster,EARTH,Plant / Pendulum / Normal,5,2500 / 1000,,,,,,
Metal Raiders,,Common,Ryu-Kishin Powered,,Monster,DARK,Fiend / Normal,4,1600 / 1200,,,,,,
Savage Strike,,Super Rare,Shiranui Spectralsword Shade,,Monster,FIRE,Zombie / Tuner / Effect,3,800 / 0,,,,,,
Abyss Rising,,Ultra Rare,Mermail Abyssgaios,,Monster,WATER,Aqua / Xyz / Effect,,2800 / 1600,7,,,,,
Invasion: Vengeance,,Super Rare,Paleozoic Opabinia,,Monster,WATER,Aqua / Xyz / Effect,,0 / 2400,2,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Rose Spectre of Dunn,,Monster,DARK,Plant / Fusion,6,2000 / 1800,,,,,,
Flaming Eternity,,Common,Firebird,,Monster,FIRE,Winged Beast / Effect,4,1000 / 800,,,,,,
Maximum Gold,,Rare,Wightprince,,Monster,DARK,Zombie / Effect,1,0 / 0,,,,,,
Duelist Revolution,,Ultra Rare,Naturia Bamboo Shoot,,Monster,EARTH,Plant / Effect,5,2000 / 2000,,,,,,
Rising Rampage,,Ultra Rare,Fortune Lady Calling,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Monster Egg,,Monster,EARTH,Warrior,3,600 / 900,,,,,,
Absolute Powerforce,,Secret Rare,Earthbound Linewalker,,Monster,DARK,Fiend / Effect,4,1200 / 1900,,,,,,
Cybernetic Revolution,,Common,Des Frog,,Monster,WATER,Aqua / Effect,5,1900 / 0,,,,,,
Dimension of Chaos,,Common,Igknight Cavalier,,Monster,FIRE,Warrior / Pendulum,5,2400 / 1200,,,,,,
Blazing Vortex,,Common,Virtual World Gate - Xuanwu,,Trap,,,,,,,,,,
Photon Shockwave,,Super Rare,Darklight,,Trap,,,,,,,,,,
Pharaoh's Servant,,Common,Ground Collapse,,Spell,,,,,,,,,,
Clash of Rebellions,,Secret Rare,The Black Stone of Legend,,Monster,DARK,Dragon / Effect,1,0 / 0,,,,,,
Crossroads of Chaos,,Common,Poison Chain,,Spell,,,,,,,,,,
Rise of the Duelist,,Ultra Rare,Wynn the Wind Channeler,,Monster,WIND,Spellcaster / Effect,5,1850 / 1500,,,,,,
Circuit Break,,Ultra Rare,Broken Line,,Trap,,,,,,,,,,
Labyrinth of Nightmare,,Common,Aqua Spirit,,Monster,WATER,Aqua / Effect,4,1600 / 1200,,,,,,
Cybernetic Horizon,,Common,Cosmo Brain,,Monster,DARK,Spellcaster / Effect,7,1500 / 2450,,,,,,
Duelist Revolution,,Super Rare,Scrap Archfiend,,Monster,EARTH,Fiend / Synchro,7,2700 / 1800,,,,,,
Duelist Revolution,,Common,Anti-Magic Prism,,Trap,,,,,,,,,,
Rise of Destiny,,Rare,Machine Duplication,,Spell,,,,,,,,,,
Cybernetic Horizon,,Rare,Reprodocus,,Monster,EARTH,Dinosaur / Link / Effect,,,,,,,,
The Shining Darkness,,Rare,Koa'ki Meiru Prototype,,Monster,EARTH,Rock / Effect,4,1800 / 1800,,,,,,
Duelist Alliance,,Common,Deskbot 001,,Monster,EARTH,Machine / Tuner / Effect,1,500 / 500,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Rookie Warrior Lady,,Monster,EARTH,Warrior / Effect,3,1000 / 800,,,,,,
Phantom Darkness,,Rare,"Aztekipede, the Worm Warrior",,Monster,EARTH,Insect / Effect,4,1900 / 400,,,,,,
Blazing Vortex,,Common,Fairy Archer Ingunar,,Monster,EARTH,Plant / Effect,6,2400 / 1200,,,,,,
Metal Raiders,,Ultra Rare,Time Wizard,,Monster,LIGHT,Spellcaster / Effect,2,500 / 400,,,,,,
Dark Neostorm,,Ultra Rare,Valkyrie Erda,,Monster,LIGHT,Fairy / Effect,8,2000 / 2200,,,,,,
Phantom Darkness,,Rare,Dark-Eyes Illusionist,,Monster,DARK,Spellcaster / Flip / Effect,2,0 / 1400,,,,,,
Duelist Revolution,,Ultra Rare,Solemn Warning,,Trap,,,,,,,,,,
Shadow Specters,,Super Rare,Noble Knight Borz,,Monster,LIGHT,Warrior / Effect,4,1700 / 900,,,,,,
Labyrinth of Nightmare,,Common,Bait Doll,,Spell,,,,,,,,,,
Invasion of Chaos,,Common,Gora Turtle of Illusion,,Monster,WATER,Aqua / Effect,4,1200 / 1400,,,,,,
Force of the Breaker,,Super Rare,Soul of Fire,,Spell,,,,,,,,,,
Dimension Force,,Common,V-LAN Hydra,,Monster,LIGHT,Cyberse / Link / Effect,,,,,,,,
Blazing Vortex,,Common,Armed Dragon Blitz,,Spell,,,,,,,,,,
Pharaonic Guardian,,Common,Rite of Spirit,,Trap,,,,,,,,,,
Extreme Force,,Common,"World Legacy - ""World Shield""",,Monster,DARK,Machine / Effect,6,0 / 3000,,,,,,
Dimension Force,,Common,Symphonic Warrior DJJ,,Monster,WIND,Machine / Pendulum / Effect,4,1200 / 1200,,,,,,
Metal Raiders,,Rare,Bladefly,,Monster,WIND,Insect / Effect,2,600 / 700,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Stop Defense,,Spell,,,,,,,,,,
Strike of Neos,,Common,"Gren, Tactician of Dark World",,Monster,DARK,Fiend / Effect,2,300 / 500,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,The Chorus in the Sky,,Spell,,,,,,,,,,
Savage Strike,,Common,Aloof Lupine,,Monster,DARK,Beast / Effect,4,1700 / 300,,,,,,
Gladiator's Assault,,Common,Rain Storm,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Short Print,Beast Fangs,,Spell,,,,,,,,,,
Strike of Neos,,Super Rare,Birthright,,Trap,,,,,,,,,,
Soul Fusion,,Rare,Cynet Fusion,,Spell,,,,,,,,,,
Eternity Code,,Common,Performapal Turn Trooper,,Monster,LIGHT,Warrior / Effect,4,1200 / 1200,,,,,,
Flaming Eternity,,Common,Whirlwind Prodigy,,Monster,WIND,Fairy / Effect,4,1500 / 1600,,,,,,
Dark Crisis,,Common,Nin-Ken Dog,,Monster,WIND,Beast-Warrior,4,1800 / 1000,,,,,,
Secrets of Eternity,,Secret Rare,Nephe Shaddoll Fusion,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Fossil Fusion,,Spell,,,,,,,,,,
Pharaoh's Servant,,Rare,Morphing Jar #2,,Monster,EARTH,Rock / Effect,3,800 / 700,,,,,,
Absolute Powerforce,,Super Rare,Tuner's Scheme,Piano Tuner's Conspiracy,Trap,,,,,,,,,,
Metal Raiders,,Common,Lady of Faith,,Monster,LIGHT,Spellcaster,3,1100 / 800,,,,,,
The New Challengers,,Rare,Unmasked Dragon,,Monster,FIRE,Wyrm / Effect,3,1400 / 1100,,,,,,
Dimension Force,,Ultra Rare,Skeletal Dragon Felgrand,,Monster,LIGHT,Zombie / Synchro / Effect,8,2800 / 2800,,,,,,
Abyss Rising,,Common,Rage of the Deep Sea,,Monster,WATER,Fish / Effect,5,0 / 0,,,,,,
Cosmo Blazer,,Super Rare,Gagagadraw,,Spell,,,,,,,,,,
Order of Chaos,,Rare,ZW - Unicorn Spear,,Monster,LIGHT,Beast / Effect,4,1900 / 0,,,,,,
Maximum Gold,,Premium Gold Rare,Stardust Charge Warrior,,Monster,WIND,Warrior / Synchro / Effect,6,2000 / 1300,,,,,,
Enemy of Justice,,Rare,D - Time,,Trap,,,,,,,,,,
Dimension of Chaos,,Super Rare,Majespecter Cyclone,,Spell,,,,,,,,,,
The New Challengers,,Rare,Shopina the Melodious Maestra,,Monster,LIGHT,Fairy / Effect,7,2300 / 1700,,,,,,
Flames of Destruction,,Super Rare,Wind-Up Zenmaintenance,,Monster,LIGHT,Machine / Link / Effect,,,,,,,,
Blazing Vortex,,Secret Rare,Armed Dragon Thunder LV10,,Monster,WIND,Dragon / Effect,10,3000 / 2000,,,,,,
Ignition Assault,,Super Rare,Jack-o-Bolan,,Monster,FIRE,Zombie / Effect,7,1500 / 2200,,,,,,
Generation Force,,Rare,Attention!,,Trap,,,,,,,,,,
Legacy of the Valiant,,Common,The Monarchs Awaken,,Trap,,,,,,,,,,
Legacy of Darkness,,Common,Mysterious Guard,,Monster,EARTH,Spellcaster / Flip / Effect,3,800 / 1200,,,,,,
Flaming Eternity,,Ultra Rare,Sacred Phoenix of Nephthys,,Monster,FIRE,Winged Beast / Effect,8,2400 / 1600,,,,,,
Elemental Energy,,Common,"Zure, Knight of Dark World",,Monster,DARK,Fiend,4,1800 / 1500,,,,,,
Ancient Prophecy,,Ultra Rare,Koa'ki Meiru Ghoulungulate,,Monster,EARTH,Zombie / Effect,5,2500 / 1700,,,,,,
Invasion of Chaos,,Common,Ojama Black,,Monster,LIGHT,Beast / Normal,2,0 / 1000,,,,,,
Shining Victories,,Super Rare,Raidraptor - Ultimate Falcon,,Monster,DARK,Winged Beast / Xyz / Effect,,3500 / 2000,10,,,,,
Lightning Overdrive,,Common,Judgment of the Branded,,Trap,,,,,,,,,,
Crimson Crisis,,Super Rare,Alien Kid,,Monster,LIGHT,Reptile / Effect,4,1600 / 700,,,,,,
The Duelist Genesis,,Ultra Rare,Goyo Guardian,,Monster,EARTH,Warrior / Synchro / Effect,6,2800 / 2000,,,,,,
Eternity Code,,Common,Lantern Shark,,Monster,WATER,Fish / Effect,4,1500 / 900,,,,,,
Magician's Force,,Common,Magical Merchant,,Monster,LIGHT,Insect / Flip / Effect,1,200 / 700,,,,,,
Pharaonic Guardian,,Common,Servant of Catabolism,,Monster,LIGHT,Aqua / Effect,3,700 / 500,,,,,,
Lord of the Tachyon Galaxy,,Short Print,Dragoncarnation,,Trap,,,,,,,,,,
Storm of Ragnarok,,Ultra Rare,Legendary Six Samurai - Shi En,,Monster,DARK,Warrior / Synchro / Effect,5,2500 / 1400,,,,,,
Primal Origin,,Super Rare,Noble Knight Eachtar,,Monster,DARK,Warrior / Effect,5,1600 / 2000,,,,,,
Ancient Sanctuary,,Common,Solar Ray,,Trap,,,,,,,,,,
Extreme Force,,Common,Striping Partner,,Monster,LIGHT,Cyberse / Effect,4,1200 / 1600,,,,,,
Gladiator's Assault,,Rare,Cloudian - Altus,,Monster,WATER,Fairy / Effect,4,1300 / 0,,,,,,
Circuit Break,,Short Print,Burning Bamboo Sword,,Spell,,,,,,,,,,
Maximum Crisis ,,Common,Lyrilusc - Sapphire Swallow,,Monster,WIND,Winged Beast / Effect,1,100 / 0,,,,,,
Rise of Destiny,,Common,Raging Flame Sprite,,Monster,FIRE,Pyro / Effect,3,100 / 200,,,,,,
The Dark Illusion,,Common,Magical Mid-Breaker Field,,Spell,,,,,,,,,,
Starstrike Blast,,Rare,Tokkosho of Ghost Destroying,,Spell,,,,,,,,,,
Cosmo Blazer,,Common,March of the Monarchs,,Spell,,,,,,,,,,
The Duelist Genesis,,Common,Geartown,,Spell,,,,,,,,,,
The Dark Illusion,,Ultra Rare,Premature Return,,Trap,,,,,,,,,,
Burst of Destiny,,Super Rare,Sunvine Sowing,,Spell,,,,,,,,,,
Labyrinth of Nightmare,,Common,Crimson Sentry,,Monster,FIRE,Warrior / Effect,4,1500 / 1200,,,,,,
Cosmo Blazer,,Super Rare,Reaper of Prophecy,,Monster,DARK,Spellcaster / Effect,6,2000 / 1600,,,,,,
Order of Chaos,,Common,Air Armor Ninja,,Monster,WIND,Warrior / Effect,4,1400 / 1400,,,,,,
Dark Neostorm,,Super Rare,Mystic Mine,,Spell,,,,,,,,,,
The New Challengers,,Rare,Apoqliphort Towers,,Monster,EARTH,Machine / Effect,10,3000 / 2600,,,,,,
Crimson Crisis,,Super Rare,Multiply,,Spell,,,,,,,,,,
Return of the Duelist,,Rare,ZW - Phoenix Bow,,Monster,FIRE,Winged Beast / Effect,3,1100 / 0,,,,,,
Gladiator's Assault,,Ultra Rare,Evil HERO Inferno Wing,Evil Hero Inferno Wing,Monster,FIRE,Fiend / Fusion / Effect,6,2100 / 1200,,,,,,
Eternity Code,,Super Rare,Burning Draw,,Spell,,,,,,,,,,
Dark Neostorm,,Common,Gouki The Blade Ogre,,Monster,EARTH,Warrior / Link / Effect,,,,,,,,
Spell Ruler,,Super Short Print,Darkness Approaches,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Chimeratech Fortress Dragon,,Monster,DARK,Machine / Fusion / Effect,8,0 / 0,,,,,,
Shining Victories,,Rare,Speedroid Den-Den Daiko Duke,,Monster,WIND,Machine / Tuner / Effect,3,1000 / 1000,,,,,,
Photon Shockwave,,Ultra Rare,Photon Veil,,Spell,,,,,,,,,,
Shining Victories,,Common,Digital Bug Corebage,,Monster,LIGHT,Insect / Xyz / Effect,,2200 / 1800,5,,,,,
Raging Tempest,,Common,Shinobird Crow,,Monster,WIND,Winged Beast / Spirit / Effect,4,0 / 0,,,,,,
Return of the Duelist,,Rare,Spellbook Library of the Crescent,,Spell,,,,,,,,,,
Starstrike Blast,,Common,Watthopper,,Monster,LIGHT,Thunder / Effect,1,0 / 0,,,,,,
Judgment of the Light,,Super Rare,Fire Formation - Yoko,,Spell,,,,,,,,,,
Legacy of Darkness,,Common,Throwstone Unit,,Monster,EARTH,Warrior / Effect,4,900 / 2000,,,,,,
Pharaonic Guardian,,Common,8-Claws Scorpion,,Monster,DARK,Insect / Effect,2,300 / 200,,,,,,
Crimson Crisis,,Common,Trap Reactor・Y FI,,Monster,DARK,Machine / Effect,4,800 / 1800,,,,,,
Cosmo Blazer,,Ultra Rare,"Artorigus, King of the Noble Knights",,Monster,LIGHT,Warrior / Xyz / Effect,,2000 / 2000,4,,,,,
Flames of Destruction,,Super Rare,Gouki The Master Ogre,,Monster,EARTH,Warrior / Link / Effect,,,,,,,,
Judgment of the Light,,Common,Star Seraph Sage,,Monster,LIGHT,Fairy / Effect,4,1600 / 1400,,,,,,
Phantom Darkness,,Super Rare,Zoma the Spirit,Skull Zoma,Trap,,,,,,,,,,
Duelist Revolution,,Common,Lock Cat,,Monster,EARTH,Beast / Effect,3,1200 / 1000,,,,,,
Labyrinth of Nightmare,,Short Print,Jam Defender,,Trap,,,,,,,,,,
Pharaoh's Servant,,Common,Flying Kamakiri #2,,Monster,WIND,Insect,4,1500 / 800,,,,,,
Crossed Souls,,Common,Shaddoll Zefracore,,Monster,DARK,Rock / Pendulum / Effect,4,450 / 1950,,,,,,
Circuit Break,,Rare,Metaverse,,Trap,,,,,,,,,,
Metal Raiders,,Rare,Great Moth,,Monster,EARTH,Insect / Effect,8,2600 / 2500,,,,,,
Blazing Vortex,,Common,Ojama Pink,,Monster,LIGHT,Beast / Effect,2,0 / 1000,,,,,,
Stardust Overdrive,,Ultra Rare,Earthbound Immortal Wiraqocha Rasca,,Monster,DARK,Winged Beast / Effect,10,100 / 100,,,,,,
Lightning Overdrive,,Common,Pharaonic Guardian Sphinx,,Monster,EARTH,Rock / Effect,8,2300 / 3000,,,,,,
Clash of Rebellions,,Ultra Rare,Kozmo Farmgirl,,Monster,LIGHT,Psychic / Effect,3,1500 / 1000,,,,,,
Savage Strike,,Rare,T.G. Screw Serpent,,Monster,WATER,Sea Serpent / Tuner / Effect,4,1300 / 500,,,,,,
Dark Neostorm,,Common,Emperor Maju Garzett,,Monster,DARK,Fiend / Effect,9,0 / 0,,,,,,
Dimension Force,,Common,Omega Judgment,,Trap,,,,,,,,,,
Chaos Impact,,Common,Primineral Mandstrong,,Monster,EARTH,Rock / Effect,8,2000 / 3000,,,,,,
Extreme Victory,,Common,"Karakuri Komachi mdl 224 ""Ninishi""",,Monster,EARTH,Machine / Tuner,3,0 / 1900,,,,,,
Primal Origin,,Common,And the Band Played On,,Trap,,,,,,,,,,
Pharaoh's Servant,,Common,Type Zero Magic Crusher,,Trap,,,,,,,,,,
Lightning Overdrive,,Common,Star Mine,,Monster,FIRE,Pyro / Synchro / Effect,4,2000 / 200,,,,,,
Crossroads of Chaos,,Super Rare,Urgent Tuning,,Trap,,,,,,,,,,
Ancient Prophecy,,Common,Armored Axon Kicker,,Monster,EARTH,Psychic / Effect,6,2200 / 1800,,,,,,
Enemy of Justice,,Common,Swift Birdman Joe,,Monster,WIND,Winged Beast / Effect,6,2300 / 1400,,,,,,
Chaos Impact,,Common,Infinitrack Brutal Dozer,,Monster,EARTH,Machine / Effect,5,1900 / 2100,,,,,,
Tactical Evolution,,Super Rare,Doom Shaman,,Monster,DARK,Spellcaster / Gemini / Effect,6,2400 / 2000,,,,,,
